train/loss,l1,l2,epoch,step,val/loss,val/error_u,val/loss_best
2978.779296875,0.3698502480983734,-6.671838760375977,359,359,,,
2968.870849609375,0.37143421173095703,-6.673226356506348,360,360,,,
2958.953125,0.3730051815509796,-6.674592971801758,361,361,,,
2949.0283203125,0.37456274032592773,-6.675938606262207,362,362,,,
2939.0986328125,0.3761065602302551,-6.677263259887695,363,363,,,
2929.166015625,0.3776363730430603,-6.6785664558410645,364,364,,,
2919.229736328125,0.37915197014808655,-6.679848670959473,365,365,,,
2909.2890625,0.3806532621383667,-6.681109428405762,366,366,,,
2899.3466796875,0.38214021921157837,-6.682348728179932,367,367,,,
2889.40673828125,0.38361284136772156,-6.683567047119141,368,368,,,
2879.472900390625,0.3850710988044739,-6.684764385223389,369,369,,,
2869.54638671875,0.38651496171951294,-6.685940742492676,370,370,,,
2859.62841796875,0.3879443407058716,-6.687096118927002,371,371,,,
2849.7216796875,0.38935914635658264,-6.688230514526367,372,372,,,
2839.82958984375,0.39075925946235657,-6.6893439292907715,373,373,,,
2829.95361328125,0.39214465022087097,-6.690435886383057,374,374,,,
2820.09375,0.39351534843444824,-6.691506862640381,375,375,,,
2810.25048828125,0.39487144351005554,-6.692556858062744,376,376,,,
2800.42578125,0.3962130844593048,-6.693586349487305,377,377,,,
2790.62158203125,0.39754045009613037,-6.694594860076904,378,378,,,
2780.838623046875,0.39885371923446655,-6.695582866668701,379,379,,,
2771.07763671875,0.4001530408859253,-6.696549892425537,380,380,,,
2761.3408203125,0.4014385938644409,-6.69749641418457,381,381,,,
2751.630126953125,0.40271052718162537,-6.698421955108643,382,382,,,
2741.94580078125,0.40396904945373535,-6.699326992034912,383,383,,,
2732.288818359375,0.40521442890167236,-6.700211048126221,384,384,,,
2722.66064453125,0.4064469635486603,-6.701074600219727,385,385,,,
2713.06298828125,0.407666951417923,-6.701918125152588,386,386,,,
2703.4970703125,0.40887466073036194,-6.7027411460876465,387,387,,,
2693.963623046875,0.41007035970687866,-6.7035441398620605,388,388,,,
2684.4638671875,0.41125425696372986,-6.70432710647583,389,389,,,
2674.998291015625,0.412426620721817,-6.705090045928955,390,390,,,
2665.567138671875,0.41358765959739685,-6.7058329582214355,391,391,,,
2656.1708984375,0.41473767161369324,-6.7065558433532715,392,392,,,
2646.81005859375,0.4158768951892853,-6.707258224487305,393,393,,,
2637.484130859375,0.4170055687427521,-6.707940578460693,394,394,,,
2628.193359375,0.4181239604949951,-6.7086029052734375,395,395,,,
2618.9375,0.4192322790622711,-6.709244728088379,396,396,,,
2609.716552734375,0.4203307330608368,-6.709866046905518,397,397,,,
2600.5302734375,0.42141950130462646,-6.7104668617248535,398,398,,,
2591.3779296875,0.42249879240989685,-6.711047172546387,399,399,,,
2582.259521484375,0.4235687851905823,-6.711606502532959,400,400,,,
2573.174560546875,0.42462968826293945,-6.71214485168457,401,401,,,
2564.12353515625,0.4256816506385803,-6.7126617431640625,402,402,,,
2555.10595703125,0.4267248511314392,-6.7131571769714355,403,403,,,
2546.123046875,0.42775946855545044,-6.713630676269531,404,404,,,
2537.17529296875,0.42878562211990356,-6.714081764221191,405,405,,,
2528.2646484375,0.4298034906387329,-6.714510440826416,406,406,,,
2519.392578125,0.4308132231235504,-6.714916229248047,407,407,,,
2510.56201171875,0.431814968585968,-6.715298652648926,408,408,,,
2501.775634765625,0.43280893564224243,-6.7156572341918945,409,409,,,
2493.03759765625,0.433795303106308,-6.715991973876953,410,410,,,
2484.351806640625,0.4347742795944214,-6.716302871704102,411,411,,,
2475.722900390625,0.4357460141181946,-6.716589450836182,412,412,,,
2467.15625,0.4367106854915619,-6.716851234436035,413,413,,,
2458.656982421875,0.43766850233078003,-6.717088222503662,414,414,,,
